Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
Yellow-browed Antbird,Hypocnemis hypoxantha,Passeriformes,Thamnophilidae (Typical Antbirds),5253,487012,37331316,FALSE,FALSE
Pygmy Falcon,Polihierax semitorquatus,Falconiformes,Falconidae (Falcons and Caracaras),5679,486969,49265230,TRUE,FALSE
African Goshawk,Accipiter tachiro,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",5482,486611,47536656,TRUE,FALSE
Black-and-chestnut Warbling-Finch,Poospiza whitii,Passeriformes,Thraupidae (Tanagers and Allies),5497,486146,43128915,FALSE,FALSE
Sinai Rosefinch,Carpodacus synoicus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",5838,485188,40685675,TRUE,FALSE
African Forest-Flycatcher,Fraseria ocreata,Passeriformes,Muscicapidae (Old World Flycatchers),5291,485092,35773358,TRUE,FALSE
Rusty-browed Warbling-Finch,Microspingus erythrophrys,Passeriformes,Thraupidae (Tanagers and Allies),5340,484872,39917042,FALSE,FALSE
Hooded Plover,Thinornis cucullatus,Charadriiformes,Charadriidae (Plovers and Lapwings),5249,484842,42464497,TRUE,FALSE
White-whiskered Spinetail,Synallaxis candei,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),4847,484805,44038370,FALSE,FALSE
Brazilian Ruby,Clytolaema rubricauda,Caprimulgiformes,Trochilidae (Hummingbirds),5445,484615,42190379,FALSE,FALSE
Asian Emerald Cuckoo,Chrysococcyx maculatus,Cuculiformes,Cuculidae (Cuckoos),5483,483732,42708647,TRUE,FALSE
Whiskered Wren,Pheugopedius mystacalis,Passeriformes,Troglodytidae (Wrens),5738,483643,46879115,TRUE,FALSE
Tiny Tyrant-Manakin,Tyranneutes virescens,Passeriformes,Pipridae (Manakins),5773,483464,45334168,TRUE,FALSE
Silvery Tanager,Tangara viridicollis,Passeriformes,Thraupidae (Tanagers and Allies),5426,483438,38694951,FALSE,FALSE
Gray-crested Finch,Lophospingus griseocristatus,Passeriformes,Thraupidae (Tanagers and Allies),4924,483221,41046215,FALSE,FALSE
Sulphur-breasted Warbler,Phylloscopus ricketti,Passeriformes,Phylloscopidae (Leaf Warblers),5130,482880,36960514,TRUE,FALSE
Yellow-bellied Wattle-eye,Platysteira concreta,Passeriformes,Platysteiridae (Wattle-eyes and Batises),5054,482625,39970233,TRUE,FALSE
Golden-crested Myna,Ampeliceps coronatus,Passeriformes,Sturnidae (Starlings),5042,482624,45842738,TRUE,FALSE
Sooty-capped Babbler,Malacopteron affine,Passeriformes,Pellorneidae (Ground Babblers and Allies),5272,482421,43557767,TRUE,FALSE
Great Woodswallow,Artamus maximus,Passeriformes,Artamidae (Woodswallows),5745,482244,50208438,TRUE,FALSE
White-eared Jacamar,Galbalcyrhynchus leucotis,Galbuliformes,Galbulidae (Jacamars),5467,482219,42168212,FALSE,FALSE
Banded Woodpecker,Chrysophlegma miniaceum,Piciformes,Picidae (Woodpeckers),5469,481775,44052491,TRUE,FALSE
Red-eyed Puffback,Dryoscopus senegalensis,Passeriformes,Malaconotidae (Bushshrikes and Allies),5252,481161,41420198,TRUE,FALSE
White-rumped Vulture,Gyps bengalensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",5439,480987,43616272,TRUE,FALSE
Fiery-browed Myna,Enodes erythrophris,Passeriformes,Sturnidae (Starlings),5005,480930,42937793,TRUE,FALSE
Beautiful Sibia,Heterophasia pulchella,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),6436,480861,45586884,FALSE,FALSE
Magnificent Riflebird,Ptiloris magnificus,Passeriformes,Paradisaeidae (Birds-of-Paradise),4853,480786,44394676,TRUE,FALSE
Pygmy Nightjar,Nyctipolus hirundinaceus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),5720,480655,43310706,FALSE,FALSE
Yellow-legged Buttonquail,Turnix tanki,Charadriiformes,Turnicidae (Buttonquail),5295,480643,48429930,TRUE,FALSE
Hispaniolan Emerald,Chlorostilbon swainsonii,Caprimulgiformes,Trochilidae (Hummingbirds),5456,480379,44033329,FALSE,FALSE
Seram Swiftlet,Aerodramus ceramensis,Caprimulgiformes,Apodidae (Swifts),7179,480276,30479271,FALSE,FALSE
Blond-crested Woodpecker,Celeus flavescens,Piciformes,Picidae (Woodpeckers),5359,480273,46411139,TRUE,FALSE
Lesser Yellownape,Picus chlorolophus,Piciformes,Picidae (Woodpeckers),5407,480084,41415346,TRUE,FALSE
White-eyed Antwren,Epinecrophylla leucophthalma,Passeriformes,Thamnophilidae (Typical Antbirds),5551,479596,43947898,TRUE,FALSE
Blue-eyed Cockatoo,Cacatua ophthalmica,Psittaciformes,Cacatuidae (Cockatoos),5546,479484,45735615,TRUE,FALSE
Black-bellied Wren,Pheugopedius fasciatoventris,Passeriformes,Troglodytidae (Wrens),5296,479457,42200939,FALSE,FALSE
Rufous-tailed Plantcutter,Phytotoma rara,Passeriformes,Cotingidae (Cotingas),5110,479108,40988006,FALSE,FALSE
Pale-tailed Barbthroat,Threnetes leucurus,Caprimulgiformes,Trochilidae (Hummingbirds),5262,478932,42454077,TRUE,FALSE
Island Collared-Dove,Streptopelia bitorquata,Columbiformes,Columbidae (Pigeons and Doves),5135,478645,48413646,FALSE,FALSE
Humaita Antbird,Myrmelastes humaythae,Passeriformes,Thamnophilidae (Typical Antbirds),5372,478220,43464309,FALSE,FALSE
Yucatan Woodpecker,Melanerpes pygmaeus,Piciformes,Picidae (Woodpeckers),5798,478083,42135331,FALSE,FALSE
Ashy-headed Green-Pigeon,Treron phayrei,Columbiformes,Columbidae (Pigeons and Doves),5392,477982,41274039,TRUE,FALSE
Crimson-collared Tanager,Ramphocelus sanguinolentus,Passeriformes,Thraupidae (Tanagers and Allies),5184,477898,43977781,FALSE,FALSE
Streaky-breasted Flufftail,Sarothrura boehmi,Gruiformes,Sarothruridae (Flufftails),5035,477709,45531578,TRUE,FALSE
Fiji Whistler,Pachycephala vitiensis,Passeriformes,Pachycephalidae (Whistlers and Allies),5187,477629,41909150,TRUE,FALSE
Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),5648,477278,38763501,FALSE,FALSE
Tufted Antshrike,Mackenziaena severa,Passeriformes,Thamnophilidae (Typical Antbirds),4899,476832,45116776,FALSE,FALSE
Hill Partridge,Arborophila torqueola,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",4660,476761,42347012,TRUE,FALSE
Andean Cock-of-the-rock,Rupicola peruvianus,Passeriformes,Cotingidae (Cotingas),4786,476617,38860470,FALSE,FALSE
Brown Tit-Babbler,Macronus striaticeps,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",4972,476606,43400581,TRUE,FALSE
Pale-billed Hornbill,Lophoceros pallidirostris,Bucerotiformes,Bucerotidae (Hornbills),5029,476469,46226428,TRUE,FALSE
Parrot Crossbill,Loxia pytyopsittacus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",5403,476411,42241517,TRUE,FALSE
Yellow-necked Greenbul,Chlorocichla falkensteini,Passeriformes,Pycnonotidae (Bulbuls),5020,475887,45522041,TRUE,FALSE
Cinereous Warbling-Finch,Microspingus cinereus,Passeriformes,Thraupidae (Tanagers and Allies),5001,475636,40623379,TRUE,FALSE
Xavier's Greenbul,Phyllastrephus xavieri,Passeriformes,Pycnonotidae (Bulbuls),5687,475359,46745309,TRUE,FALSE
Dusky Tit,Melaniparus funereus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",5178,475295,43415153,TRUE,FALSE
Amethyst-throated Hummingbird,Lampornis amethystinus,Caprimulgiformes,Trochilidae (Hummingbirds),4574,474973,39836610,FALSE,FALSE
Swainson's Warbler,Limnothlypis swainsonii,Passeriformes,Parulidae (New World Warblers),5428,474907,42916308,FALSE,TRUE
Fiery-tailed Awlbill,Avocettula recurvirostris,Caprimulgiformes,Trochilidae (Hummingbirds),5263,474870,42509543,TRUE,FALSE
Baer's Pochard,Aythya baeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",4859,474712,40171067,TRUE,FALSE
Flame-faced Tanager,Tangara parzudakii,Passeriformes,Thraupidae (Tanagers and Allies),5637,474708,41217742,FALSE,FALSE
Eastern Double-collared Sunbird,Cinnyris mediocris,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),5652,474661,42627430,FALSE,FALSE
Red-shouldered Spinetail,Synallaxis hellmayri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),4824,474140,42524284,FALSE,FALSE
Stub-tailed Spadebill,Platyrinchus cancrominus,Passeriformes,Tyrannidae (Tyrant Flycatchers),5199,473957,46368399,FALSE,FALSE
Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),5040,473936,44457515,TRUE,FALSE
Black Bishop,Euplectes gierowii,Passeriformes,Ploceidae (Weavers and Allies),5029,473781,44158755,TRUE,FALSE
White-throated Manakin,Corapipo gutturalis,Passeriformes,Pipridae (Manakins),4380,473522,39262037,FALSE,FALSE
Rufous-crowned Babbler,Malacopteron magnum,Passeriformes,Pellorneidae (Ground Babblers and Allies),4838,473385,39504451,TRUE,FALSE
Pacific Baza,Aviceda subcristata,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",4893,473286,39304777,TRUE,FALSE
Cuban Vireo,Vireo gundlachii,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",5496,473097,40403891,FALSE,FALSE
Barking Owl,Ninox connivens,Strigiformes,Strigidae (Owls),5105,473072,40161683,TRUE,FALSE
Rufous-bellied Helmetshrike,Prionops rufiventris,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",5560,472832,41761892,TRUE,FALSE
Pin-tailed Manakin,Ilicura militaris,Passeriformes,Pipridae (Manakins),5539,472722,41733330,FALSE,FALSE
New Guinea White-eye,Zosterops novaeguineae,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",5278,471505,48597884,TRUE,FALSE
Boyd's Shearwater,Puffinus boydi,Procellariiformes,Procellariidae (Shearwaters and Petrels),5418,470658,42506197,FALSE,FALSE
Dusky Gerygone,Gerygone tenebrosa,Passeriformes,Acanthizidae (Thornbills and Allies),4696,470539,44018637,TRUE,FALSE
Hook-billed Hermit,Glaucis dohrnii,Caprimulgiformes,Trochilidae (Hummingbirds),6866,470046,35192117,FALSE,TRUE
Green Shrike-Babbler,Pteruthius xanthochlorus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",5194,469732,40451864,TRUE,FALSE
Fire-tailed Sunbird,Aethopyga ignicauda,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),4753,469624,43972408,TRUE,FALSE
Violet-fronted Brilliant,Heliodoxa leadbeateri,Caprimulgiformes,Trochilidae (Hummingbirds),5392,469495,43466546,FALSE,FALSE
Chestnut-rumped Woodcreeper,Xiphorhynchus pardalotus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),5315,469202,41358775,TRUE,FALSE
Black-banded Owl,Ciccaba huhula,Strigiformes,Strigidae (Owls),5454,468879,41775158,TRUE,FALSE
Tawny-bellied Seedeater,Sporophila hypoxantha,Passeriformes,Thraupidae (Tanagers and Allies),5573,468736,42107602,TRUE,FALSE
White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),4932,467456,41392664,TRUE,FALSE
Casqued Cacique,Cacicus oseryi,Passeriformes,Icteridae (Troupials and Allies),4617,467047,44114655,FALSE,FALSE
Elegant Imperial-Pigeon,Ducula concinna,Columbiformes,Columbidae (Pigeons and Doves),4769,466944,41555316,TRUE,FALSE
Andean Teal,Anas andium,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",4575,466204,39786468,FALSE,FALSE
East Brazilian Chachalaca,Ortalis araucuan,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",4703,466175,45023486,FALSE,FALSE
Black-capped Social-Weaver,Pseudonigrita cabanisi,Passeriformes,Ploceidae (Weavers and Allies),4786,465207,38622209,TRUE,FALSE
Little Green-Pigeon,Treron olax,Columbiformes,Columbidae (Pigeons and Doves),5198,464321,44863795,TRUE,FALSE
Bushy-crested Hornbill,Anorrhinus galeritus,Bucerotiformes,Bucerotidae (Hornbills),4856,464292,43010418,TRUE,FALSE
Sooty Swift,Cypseloides fumigatus,Caprimulgiformes,Apodidae (Swifts),5018,464169,39749329,TRUE,FALSE
Blue-faced Parrotfinch,Erythrura trichroa,Passeriformes,Estrildidae (Waxbills and Allies),5106,463876,41758999,TRUE,FALSE
Black-headed Berryeater,Carpornis melanocephala,Passeriformes,Cotingidae (Cotingas),5031,463555,38660984,FALSE,TRUE
Cinnamon Warbling-Finch,Poospiza ornata,Passeriformes,Thraupidae (Tanagers and Allies),5990,463484,45218872,FALSE,FALSE
Pale Chanting-Goshawk,Melierax canorus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",4937,462932,38824486,TRUE,FALSE
Buff-breasted Earthcreeper,Upucerthia validirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),5085,462837,42033923,FALSE,FALSE
Hooded Butcherbird,Cracticus cassicus,Passeriformes,Cracticidae (Bellmagpies and Allies),5352,462794,37763460,TRUE,FALSE
Mountain Fulvetta,Alcippe peracensis,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),4925,462607,42236076,FALSE,FALSE
Black-backed Forktail,Enicurus immaculatus,Passeriformes,Muscicapidae (Old World Flycatchers),4666,462483,40124517,TRUE,FALSE
Hangnest Tody-Tyrant,Hemitriccus nidipendulus,Passeriformes,Tyrannidae (Tyrant Flycatchers),5069,462106,37796603,FALSE,FALSE
Cinnamon-rumped Foliage-gleaner,Philydor pyrrhodes,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),5478,461940,46456596,TRUE,FALSE
Black-winged Lapwing,Vanellus melanopterus,Charadriiformes,Charadriidae (Plovers and Lapwings),5960,461478,42694407,TRUE,FALSE
Olive-crowned Crescentchest,Melanopareia maximiliani,Passeriformes,Melanopareiidae (Crescentchests),4956,461431,40128672,FALSE,FALSE
Ochre-collared Monarch,Arses insularis,Passeriformes,Monarchidae (Monarch Flycatchers),5162,461224,41573798,TRUE,FALSE
Bronze-naped Pigeon,Columba iriditorques,Columbiformes,Columbidae (Pigeons and Doves),5207,460762,37232907,TRUE,FALSE
Rufous-necked Wood-Rail,Aramides axillaris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",4854,460561,43587184,TRUE,FALSE
Buff-breasted Babbler,Pellorneum tickelli,Passeriformes,Pellorneidae (Ground Babblers and Allies),5409,460424,38753018,FALSE,FALSE
Golden-breasted Fulvetta,Lioparus chrysotis,Passeriformes,"Paradoxornithidae (Parrotbills, Wrentit, and Allies)",5161,459613,43134276,TRUE,FALSE
Green Malkoha,Ceuthmochares australis,Cuculiformes,Cuculidae (Cuckoos),5047,458545,44884916,TRUE,FALSE
Swahili Sparrow,Passer suahelicus,Passeriformes,Passeridae (Old World Sparrows),4411,458413,42780665,TRUE,FALSE
Kawall's Parrot,Amazona kawalli,Psittaciformes,Psittacidae (New World and African Parrots),5192,457622,38233735,FALSE,FALSE
Malabar Whistling-Thrush,Myophonus horsfieldii,Passeriformes,Muscicapidae (Old World Flycatchers),5405,457445,42175350,FALSE,FALSE
Bar-crested Antshrike,Thamnophilus multistriatus,Passeriformes,Thamnophilidae (Typical Antbirds),4447,457331,41434848,FALSE,FALSE
Cherrie's Antwren,Myrmotherula cherriei,Passeriformes,Thamnophilidae (Typical Antbirds),4941,457285,40178926,FALSE,FALSE
Greater Yellownape,Chrysophlegma flavinucha,Piciformes,Picidae (Woodpeckers),4769,457145,39432522,TRUE,FALSE
Long-legged Pipit,Anthus pallidiventris,Passeriformes,Motacillidae (Wagtails and Pipits),4448,457063,39383979,TRUE,FALSE
Half-collared Kingfisher,Alcedo semitorquata,Coraciiformes,Alcedinidae (Kingfishers),5024,456968,39626447,TRUE,FALSE
Black-bellied Bustard,Lissotis melanogaster,Otidiformes,Otididae (Bustards),5104,456604,42154016,TRUE,FALSE
Miombo Wren-Warbler,Calamonastes undosus,Passeriformes,Cisticolidae (Cisticolas and Allies),4726,456174,43943189,TRUE,FALSE
Mato Grosso Antbird,Cercomacra melanaria,Passeriformes,Thamnophilidae (Typical Antbirds),5007,455951,39442728,TRUE,FALSE
Yellow-tufted Honeyeater,Lichenostomus melanops,Passeriformes,Meliphagidae (Honeyeaters),5602,455642,41873821,FALSE,FALSE
Indian Skimmer,Rynchops albicollis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",4718,455398,39552824,TRUE,FALSE
Todd's Antwren,Herpsilochmus stictocephalus,Passeriformes,Thamnophilidae (Typical Antbirds),5130,454876,39558161,FALSE,FALSE
Cinnamon Bracken-Warbler,Bradypterus cinnamomeus,Passeriformes,Locustellidae (Grassbirds and Allies),5124,454767,39431074,TRUE,FALSE
Stripe-breasted Starthroat,Heliomaster squamosus,Caprimulgiformes,Trochilidae (Hummingbirds),5110,454623,40067037,TRUE,FALSE
Black-backed Oriole,Icterus abeillei,Passeriformes,Icteridae (Troupials and Allies),5138,453926,36713233,FALSE,FALSE
Golden Nightjar,Caprimulgus eximius,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),4996,453516,38132293,TRUE,FALSE
Madagascar Green-Pigeon,Treron australis,Columbiformes,Columbidae (Pigeons and Doves),4802,453437,39679249,TRUE,FALSE
Seychelles Fody,Foudia sechellarum,Passeriformes,Ploceidae (Weavers and Allies),4919,453130,36395177,TRUE,FALSE
Scaled Chachalaca,Ortalis squamata,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",4664,452029,43349376,FALSE,FALSE
Radde's Accentor,Prunella ocularis,Passeriformes,Prunellidae (Accentors),4703,451619,34860333,FALSE,FALSE
Brush Bronzewing,Phaps elegans,Columbiformes,Columbidae (Pigeons and Doves),5175,450959,38171685,TRUE,FALSE
Rufous-breasted Leaftosser,Sclerurus scansor,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),4583,450950,43840507,TRUE,FALSE
Philippine Green-Pigeon,Treron axillaris,Columbiformes,Columbidae (Pigeons and Doves),4785,450911,36565678,TRUE,FALSE
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",4859,450885,41198109,FALSE,FALSE
Moltoni's Warbler,Sylvia subalpina,Passeriformes,Sylviidae (Sylviid Warblers),4399,450833,40804504,TRUE,FALSE
Black-winged Snowfinch,Montifringilla adamsi,Passeriformes,Passeridae (Old World Sparrows),4792,450824,39645423,TRUE,FALSE
Rusty-fronted Barwing,Actinodura egertoni,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),4497,450702,45004654,FALSE,FALSE
Tepui Swift,Streptoprocne phelpsi,Caprimulgiformes,Apodidae (Swifts),5041,449939,41157638,FALSE,FALSE
Yellow-wattled Bulbul,Brachypodius urostictus,Passeriformes,Pycnonotidae (Bulbuls),5197,449696,41686683,TRUE,FALSE
Black-throated Munia,Lonchura kelaarti,Passeriformes,Estrildidae (Waxbills and Allies),4985,449690,43255609,FALSE,FALSE
Broad-billed Tody,Todus subulatus,Coraciiformes,Todidae (Todies),5405,448985,38375773,FALSE,FALSE
Eastern Mountain-Greenbul,Arizelocichla nigriceps,Passeriformes,Pycnonotidae (Bulbuls),4436,448783,43737964,TRUE,FALSE
Golden-sided Euphonia,Euphonia cayennensis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",5747,448776,42638767,TRUE,FALSE
Black-tailed Flycatcher,Myiobius atricaudus,Passeriformes,Tyrannidae (Tyrant Flycatchers),4633,448447,41922540,TRUE,FALSE
Yellow-breasted Flowerpecker,Prionochilus maculatus,Passeriformes,Dicaeidae (Flowerpeckers),4567,448375,44550323,TRUE,FALSE
Marsh Tchagra,Tchagra minutus,Passeriformes,Malaconotidae (Bushshrikes and Allies),5380,448211,38686593,TRUE,FALSE
Finsch's Euphonia,Euphonia finschi,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",5181,447983,41331582,FALSE,FALSE
Tiny Sunbird,Cinnyris minullus,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),4790,447334,39637945,TRUE,FALSE
Somali Bunting,Emberiza poliopleura,Passeriformes,Emberizidae (Old World Buntings),5109,446817,41640118,TRUE,FALSE
Azure Jay,Cyanocorax caeruleus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",5017,446590,43406864,FALSE,FALSE
Slender-billed Oriole,Oriolus tenuirostris,Passeriformes,Oriolidae (Old World Orioles),4589,446385,38132643,TRUE,FALSE
Whooping Crane,Grus americana,Gruiformes,Gruidae (Cranes),5558,446204,42015826,FALSE,TRUE
Striated Laughingthrush,Grammatoptila striata,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),4382,445676,39942543,FALSE,FALSE
Moustached Turca,Pteroptochos megapodius,Passeriformes,Rhinocryptidae (Tapaculos),5158,445532,46892116,FALSE,FALSE
New Britain Friarbird,Philemon cockerelli,Passeriformes,Meliphagidae (Honeyeaters),4971,444929,40736770,TRUE,FALSE
Yellow-shouldered Grosbeak,Parkerthraustes humeralis,Passeriformes,Thraupidae (Tanagers and Allies),5116,444837,38076070,FALSE,FALSE
Blue-throated Roller,Eurystomus gularis,Coraciiformes,Coraciidae (Rollers),4601,444777,35141679,TRUE,FALSE
Beaudouin's Snake-Eagle,Circaetus beaudouini,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",4696,444729,41033933,TRUE,FALSE
Orange Oriole,Icterus auratus,Passeriformes,Icteridae (Troupials and Allies),4958,444530,44494600,FALSE,FALSE
Chinese Rubythroat,Calliope tschebaiewi,Passeriformes,Muscicapidae (Old World Flycatchers),4846,444350,40892589,TRUE,FALSE
White-naped Swift,Streptoprocne semicollaris,Caprimulgiformes,Apodidae (Swifts),5520,443883,45402968,FALSE,FALSE
Sooty Tit,Aegithalos fuliginosus,Passeriformes,Aegithalidae (Long-tailed Tits),5299,443052,35534740,TRUE,FALSE
Red-shouldered Cuckooshrike,Campephaga phoenicea,Passeriformes,Campephagidae (Cuckooshrikes),4917,442692,41273650,TRUE,FALSE
Waved Woodpecker,Celeus undatus,Piciformes,Picidae (Woodpeckers),4893,442261,40430553,TRUE,FALSE
Malabar Lark,Galerida malabarica,Passeriformes,Alaudidae (Larks),4675,442255,43860172,FALSE,FALSE
Orange-breasted Trogon,Harpactes oreskios,Trogoniformes,Trogonidae (Trogons),4468,442132,40397951,TRUE,FALSE
Mouse-brown Sunbird,Anthreptes gabonicus,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),5092,441895,43004257,TRUE,FALSE
Sind Sparrow,Passer pyrrhonotus,Passeriformes,Passeridae (Old World Sparrows),5040,441803,42677546,TRUE,FALSE
Pearly Parakeet,Pyrrhura lepida,Psittaciformes,Psittacidae (New World and African Parrots),4539,441657,37820762,FALSE,FALSE
Sulawesi Blue Flycatcher,Cyornis omissus,Passeriformes,Muscicapidae (Old World Flycatchers),5128,441638,37855123,TRUE,FALSE
Southern Penduline-Tit,Anthoscopus minutus,Passeriformes,Remizidae (Penduline-Tits),5070,441564,40698915,TRUE,FALSE
Collared Myna,Acridotheres albocinctus,Passeriformes,Sturnidae (Starlings),4686,441537,41632411,FALSE,FALSE
Shining-blue Kingfisher,Alcedo quadribrachys,Coraciiformes,Alcedinidae (Kingfishers),5292,441465,45016523,TRUE,FALSE
Balicassiao,Dicrurus balicassius,Passeriformes,Dicruridae (Drongos),4344,441277,40642614,TRUE,FALSE
Karoo Scrub-Robin,Cercotrichas coryphoeus,Passeriformes,Muscicapidae (Old World Flycatchers),4726,441182,35971756,FALSE,FALSE
Plain Nightjar,Caprimulgus inornatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),5367,440772,43033521,TRUE,FALSE
Long-tailed Potoo,Nyctibius aethereus,Caprimulgiformes,Nyctibiidae (Potoos),5014,440654,40190824,TRUE,FALSE
White-bellied Piculet,Picumnus spilogaster,Piciformes,Picidae (Woodpeckers),4935,440459,40510700,FALSE,FALSE
Orange Weaver,Ploceus aurantius,Passeriformes,Ploceidae (Weavers and Allies),4689,440268,35429960,TRUE,FALSE
Brown Bush Warbler,Locustella luteoventris,Passeriformes,Locustellidae (Grassbirds and Allies),5339,439743,42902231,TRUE,FALSE
Cerulean Cuckooshrike,Coracina temminckii,Passeriformes,Campephagidae (Cuckooshrikes),4547,439423,41947281,TRUE,FALSE
Citril Finch,Carduelis citrinella,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",4692,439264,40779931,FALSE,FALSE
Ornate Hawk-Eagle,Spizaetus ornatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",4669,439199,43144530,TRUE,FALSE
Madagascar Buttonquail,Turnix nigricollis,Charadriiformes,Turnicidae (Buttonquail),5236,439093,40263580,TRUE,FALSE
Diamond Firetail,Stagonopleura guttata,Passeriformes,Estrildidae (Waxbills and Allies),4834,439014,41074714,FALSE,FALSE
Olive-spotted Hummingbird,Leucippus chlorocercus,Caprimulgiformes,Trochilidae (Hummingbirds),4782,438933,40020028,FALSE,FALSE
Western Corella,Cacatua pastinator,Psittaciformes,Cacatuidae (Cockatoos),4775,438802,39477456,FALSE,FALSE
Raffles's Malkoha,Rhinortha chlorophaea,Cuculiformes,Cuculidae (Cuckoos),4686,438700,36248495,TRUE,FALSE
Black-billed Turaco,Tauraco schuettii,Musophagiformes,Musophagidae (Turacos),4761,438457,36978581,TRUE,FALSE
Yellow-bellied Bulbul,Alophoixus phaeocephalus,Passeriformes,Pycnonotidae (Bulbuls),4750,438136,40318662,TRUE,FALSE
Cape Francolin,Pternistis capensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",5633,438047,31423562,TRUE,FALSE
Copper-throated Sunbird,Leptocoma calcostetha,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),5043,437984,41878754,TRUE,FALSE
Gray-headed Parakeet,Psittacula finschii,Psittaciformes,Psittaculidae (Old World Parrots),4648,437870,36978673,TRUE,FALSE
Moustached Babbler,Malacopteron magnirostre,Passeriformes,Pellorneidae (Ground Babblers and Allies),4677,437678,36973783,TRUE,FALSE
Black-tailed Treecreeper,Climacteris melanurus,Passeriformes,Climacteridae (Australasian Treecreepers),5063,437554,43012560,TRUE,FALSE
Pale-bellied Mourner,Rhytipterna immunda,Passeriformes,Tyrannidae (Tyrant Flycatchers),4417,437443,38590428,TRUE,FALSE
Rufous-naped Bellbird,Aleadryas rufinucha,Passeriformes,Oreoicidae (Australo-Papuan Bellbirds),4543,437069,39776785,TRUE,FALSE
Quail-plover,Ortyxelos meiffrenii,Charadriiformes,Turnicidae (Buttonquail),5227,436941,43010691,TRUE,FALSE
Wilson's Indigobird,Vidua wilsoni,Passeriformes,Viduidae (Indigobirds),4364,436268,39233470,FALSE,FALSE
Cape Sugarbird,Promerops cafer,Passeriformes,Promeropidae (Sugarbirds),4214,436155,36947683,FALSE,FALSE
Slaty Monarch,Mayrornis lessoni,Passeriformes,Monarchidae (Monarch Flycatchers),4174,435698,41875523,TRUE,FALSE
Ryukyu Minivet,Pericrocotus tegimae,Passeriformes,Campephagidae (Cuckooshrikes),5051,435467,34880360,TRUE,FALSE
Eyrean Grasswren,Amytornis goyderi,Passeriformes,Maluridae (Fairywrens),4301,435444,37416179,FALSE,FALSE
Red-and-yellow Barbet,Trachyphonus erythrocephalus,Piciformes,Lybiidae (African Barbets),5006,435039,37276445,TRUE,FALSE
Papuan Pitta,Erythropitta macklotii,Passeriformes,Pittidae (Pittas),4579,434519,40110998,TRUE,FALSE
