Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Passeriformes,Dicaeidae (Flowerpeckers),44452,3907662,379920264,TRUE,FALSE
Streaked Shearwater,Calonectris leucomelas,Procellariiformes,Procellariidae (Shearwaters and Petrels),43854,3896468,353434145,FALSE,FALSE
Masked Shrike,Lanius nubicus,Passeriformes,Laniidae (Shrikes),40720,3892297,380702919,TRUE,FALSE
Sakalava Weaver,Ploceus sakalava,Passeriformes,Ploceidae (Weavers and Allies),38021,3882449,346217530,TRUE,FALSE
Rock Wren,Salpinctes obsoletus,Passeriformes,Troglodytidae (Wrens),44512,3878990,279284140,TRUE,TRUE
Southern Gray-headed Sparrow,Passer diffusus,Passeriformes,Passeridae (Old World Sparrows),45190,3876367,317157929,TRUE,FALSE
Yellow-billed Loon,Gavia adamsii,Gaviiformes,Gaviidae (Loons),40733,3874597,324462939,TRUE,FALSE
Australian Kestrel,Falco cenchroides,Falconiformes,Falconidae (Falcons and Caracaras),44251,3866460,368984467,TRUE,FALSE
Saunders's Tern,Sternula saundersi,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",44971,3859915,315893821,TRUE,FALSE
Eastern Wattled-Honeyeater,Foulehaio carunculatus,Passeriformes,Meliphagidae (Honeyeaters),47615,3858904,375015649,TRUE,FALSE
Masked Tityra,Tityra semifasciata,Passeriformes,Tityridae (Tityras and Allies),44626,3857024,358520117,TRUE,FALSE
Black-capped Warbling-Finch,Microspingus melanoleucus,Passeriformes,Thraupidae (Tanagers and Allies),44536,3855520,356381754,FALSE,FALSE
Little Owl,Athene noctua,Strigiformes,Strigidae (Owls),41820,3845030,373793419,TRUE,FALSE
Blue-and-yellow Tanager,Pipraeidea bonariensis,Passeriformes,Thraupidae (Tanagers and Allies),42806,3843671,364409979,FALSE,FALSE
Black-crowned Tchagra,Tchagra senegalus,Passeriformes,Malaconotidae (Bushshrikes and Allies),39214,3843249,319223809,TRUE,FALSE
Blue-breasted Quail,Synoicus chinensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",42456,3841823,315639137,TRUE,FALSE
Sykes's Warbler,Iduna rama,Passeriformes,Acrocephalidae (Reed Warblers and Allies),38120,3840786,324842903,TRUE,FALSE
Tambourine Dove,Turtur tympanistria,Columbiformes,Columbidae (Pigeons and Doves),40212,3832186,350024472,TRUE,FALSE
Red-chested Swallow,Hirundo lucida,Passeriformes,Hirundinidae (Swallows),42490,3830990,359132798,TRUE,FALSE
Green-rumped Parrotlet,Forpus passerinus,Psittaciformes,Psittacidae (New World and African Parrots),45115,3830856,339523128,TRUE,FALSE
